routeId,Id,tripId,tripHeadsign,shapeId
126B,2100,NORMAL_126B_Kamalpark To Pimplenilakh_Up-0610_0,Kamalpark To Pimplenilakh,4085
126C,958,NORMAL_126C_Pimplenilakh To Khadki Bazar_Up-1320_0,Pimplenilakh To Khadki Bazar,5175
126D,12658,NORMAL_126D_Khadki Bazar To Vishrantwadi_Up-1440_0,Khadki Bazar To Vishrantwadi,4087
127_86,16933,NORMAL_127_Swargate to Vadgaon Mawal_Up-0645_0,Swargate to Vadgaon Mawal,4552
128,2405,NORMAL_128_Ma Na Pa To Bopkhel_Up-0555_0,Ma Na Pa To Bopkhel,3541
129,1517,NORMAL_129_Balewadi Depot To Pune Station_Down-0655_0,Balewadi Depot To Pune Station,2217
13,7247,NORMAL_13_Upper Depot To Shivajinagar_Up-0530_0,Upper Depot To Shivajinagar,3394
130,16709,NORMAL_130_Yewalewadi To Shivajinagar_Up-0530_0,Yewalewadi To Shivajinagar,3445
130A,16715,NORMAL_130A_Yewalewadi To Katraj_Down-1250_0,Yewalewadi To Katraj,3456
131_12,16921,NORMAL_131_Ma Na Pa to Vadgaon Shinde_Up-0530_0,Ma Na Pa to Vadgaon Shinde,4545
132,8362,NORMAL_132_Ma Na Pa To Shubham Society Nagar Road_UP-0530_0,Ma Na Pa To Shubham Society Nagar Road,3173
133,9514,NORMAL_133_Ma Na Pa To Anand Park_Up-0530_0,Ma Na Pa To Anand Park,3200
135,21581,NORMAL_135_Pune Station To Wadebolhai_Up-0530_0,Pune Station To Wadebolhai,5207
136,4674,NORMAL_136_Pune Station To Vadegaon_Up-0650_0,Pune Station To Vadegaon,3547
139,12721,NORMAL_139_Bhakti Shakti To Shewalwadi_Down-0600_0,Bhakti Shakti To Shewalwadi,4853
13A,9207,NORMAL_13A_Shivajinagar To VIT College_Down-0715_0,Shivajinagar To VIT College,3749
14,9964,NORMAL_14_Kesnand Phata To Dhayari Maruti Mandir_Down-0550_0,Kesnand Phata To Dhayari Maruti Mandir,3356
140,2460,NORMAL_140_Upper Depot To Pune Station_Up-0530_0,Upper Depot To Pune Station,3398
142,3461,NORMAL_142_Pune Station To Ghotawade Phata_Up-0530_0,Pune Station To Ghotawade Phata,3554
143,4982,NORMAL_143_Galinde Path To Pune Station (Vai Mhatre Pul)_Up-0530_0,Galinde Path To Pune Station (Vai Mhatre Pul),2670
143A,9062,NORMAL_143A_Galinde Path To Pune Station (Vai Nal Stop)_Up-0615_0,Galinde Path To Pune Station (Vai Nal Stop),3754
144,10053,NORMAL_144_Kothrud Stand To Pune Station_Up-0530_0,Kothrud Stand To Pune Station,3840
144D,10149,NORMAL_144D_Kumbare Park To Pune Station_Up-0700_0,Kumbare Park To Pune Station,3862
145,8411,NORMAL_145_Pune Station To NDA Gol Market_Up-1120_0,Pune Station To NDA Gol Market,3572
145A,8407,NORMAL_145A_Pune Station To D2 Circle_Up-0530_0,Pune Station To D2 Circle,3750
146,13199,NORMAL_146_Pune Station To Gokhalenagar_Up-0545_0,Pune Station To Gokhalenagar,3876
147,15374,NORMAL_147_Pune Station To Nhavi Sandas_Up-0515_0,Pune Station To Nhavi Sandas,5205
148,13324,NORMAL_148_Shewalwadi To Pimple Gurav_Up-0530_0,Shewalwadi To Pimple Gurav,3878
148A,8753,NORMAL_148A_Bhekarai Depot To Bhosari Terminal_Up-0545_0,Bhekarai Depot To Bhosari Terminal,3153
149,3905,NORMAL_149_Shewalwadi To Pimprigaon_Up-0510_0,Shewalwadi To Pimprigaon,4981
150_73,11934,NORMAL_150_Pune Station Depo To Pimplegurav Via Wakdewadi Khadki Station Buddha Vihar_Up-0830_0,Pune Station Depo To Pimplegurav Via Wakdewadi Khadki Station Buddha Vihar,4553
151,11932,NORMAL_151_Pune Station To Alandi_Up-0605_0,Pune Station To Alandi,3634
152_75,2384,NORMAL_152_MNP To Dhanori / KamalPark Via Lohagaon_Up-1035_0,MNP To Dhanori / KamalPark Via Lohagaon,5242
154,15852,NORMAL_154_Pune Station To Vishrantwadi_Up-0540_0,Pune Station To Vishrantwadi,4604
155,13501,NORMAL_155_Pune Station To Lohgaon (Via Dhanori)_Up-0520_0,Pune Station To Lohgaon (Via Dhanori),3880
158,12013,NORMAL_158_Lohgaon To Ma Na Pa_Down-0600_0,Lohgaon To Ma Na Pa,3885
158A(NEW),12875,NORMAL_158A(NEW)_Ma Na Pa Dengle Pul To Dadachi Padal_Up-0540_0,Ma Na Pa Dengle Pul To Dadachi Padal,3756
158B,12861,NORMAL_158B_Ma Na Pa To D.Y. Patil Vidhypith Lohgaon_Up-0850_0,Ma Na Pa To D.Y. Patil Vidhypith Lohgaon,3882
159,6637,NORMAL_159_Ma Na Pa To Talegaon Dhamdhere_UP-0830_0,Ma Na Pa To Talegaon Dhamdhere,5054
161,10810,NORMAL_161_Warje Malwadi To Vimannagar_Up-0540_0,Warje Malwadi To Vimannagar,2932
162,1458,NORMAL_162_Pune Station To Kendurgaon_Up-0500_0,Pune Station To Kendurgaon,3967
163,2862,NORMAL_163_Pune Station To Kharadi Gaon (Dhole Patil College)_Up-0520_0,Pune Station To Kharadi Gaon (Dhole Patil College),5001
164,10423,NORMAL_164_Swargate To Vimannagar_UP-0545_0,Swargate To Vimannagar,1059
165,815,NORMAL_165_Ma Na Pa To Wadgaonsheri_Up-0530_0,Ma Na Pa To Wadgaonsheri,3179
166,12266,NORMAL_166_Pune Station To Viman Nagar_UP-0540_0,Pune Station To Viman Nagar,3191
167,448,NORMAL_167_Hadapsar Gadital To Kesnand Phata_Up-0545_0,Hadapsar Gadital To Kesnand Phata,4626
168,13853,NORMAL_168_Ma Na Pa To Keshavnagar_Up-0520_0,Ma Na Pa To Keshavnagar,3590
169,13965,NORMAL_169_Ma Na Pa To Keshavnagar (Vai Koregaon Park)_Up-0535_0,Ma Na Pa To Keshavnagar (Vai Koregaon Park),4661
17,9046,NORMAL_17_Narhegaon To Shaniwarwada_Down-0615_0,Narhegaon To Shaniwarwada,2327
170,18429,NORMAL_170_Pune Station To Kondhwa Bk_Up-0510_0,Pune Station To Kondhwa Bk,3595
170B,18485,NORMAL_170B_Pune Station To Kondhwa Hospital_Up-0605_0,Pune Station To Kondhwa Hospital,3760
172_38,15003,NORMAL_172_Hadapsar Gadital To Vadgaon Sheri_Up-0730_0,Hadapsar Gadital To Vadgaon Sheri,4611
174,3006,NORMAL_174_Pune Station To NDA 10 No Gate Bus Stand_Up-0500_0,Pune Station To NDA 10 No Gate Bus Stand,4891
174A,3012,NORMAL_174A_Pune Station To NDA Gol Market_Up-1430_0,Pune Station To NDA Gol Market,3762
175,14251,NORMAL_175_Ma Na Pa To Hadapsar Gadital_Up-0620_0,Ma Na Pa To Hadapsar Gadital,4909
177,14279,NORMAL_177_Pune Station To Salunke Vihar_Up-0520_0,Pune Station To Salunke Vihar,3664
179,18658,NORMAL_179_Swargate To Vadachiwadi_Up-0835_0,Swargate To Vadachiwadi,3666
17A,9045,NORMAL_17A_Natraj Stand To Narhegaon_Up-0530_0,Natraj Stand To Narhegaon,3769
180,14407,NORMAL_180_Bhekrainagar To Na Ta Wadi_Down-0520_0,Bhekrainagar To Na Ta Wadi,3639
181,14524,NORMAL_181_Na Ta Wadi To Kondhwa Kh_Up-0520_0,Na Ta Wadi To Kondhwa Kh,3668
181C,12370,NORMAL_181C_Na Ta Wadi To Kondhwa Bk_Up-0535_0,Na Ta Wadi To Kondhwa Bk,3777
183,7605,NORMAL_183_Hadapsar Gadital To Kolawadi Via Theur_Up-0525_0,Hadapsar Gadital To Kolawadi Via Theur,5014
185,5849,NORMAL_185_Hadapsar Gadital To Wagholi Kesnand_Up-0515_0,Hadapsar Gadital To Wagholi Kesnand,4659
186,188,NORMAL_186_Jspm College To Pune Station_Up-1840_0,Jspm College To Pune Station,3889
186A,1073,NORMAL_186A_Swargate To Jspm College_Down-1440_0,Swargate To Jspm College,3783
187,15399,NORMAL_187_Bhekrainagar To Pune Station_Up-0545_0,Bhekrainagar To Pune Station,3640
188,14653,NORMAL_188_Hadapsar Gadital To Katraj_Up-0600_0,Hadapsar Gadital To Katraj,3643
189,17254,NORMAL_189_Hadapsar Gadital To Devachi Uruli (Dhangar Vasti)_Up-0600_0,Hadapsar Gadital To Devachi Uruli (Dhangar Vasti),4618
19,429,NORMAL_19_Kondhwa Hospital To Shivajinagar_Up-1740_0,Kondhwa Hospital To Shivajinagar,3407
190,14762,NORMAL_190_Hadapsar Gadital To Fursungi_Up-0530_0,Hadapsar Gadital To Fursungi,3896
191,10278,NORMAL_191_Pune Station To Trinity College_Up-0600_0,Pune Station To Trinity College,3647
192,4092,NORMAL_192_Hadapsar Gadital To Vadachiwadi_Up-0600_0,Hadapsar Gadital To Vadachiwadi,4678
193,7288,NORMAL_193_Hadapsar Gadital To Uruli Kanchan_Up-0600_0,Hadapsar Gadital To Uruli Kanchan,3651
194_03,16513,NORMAL_194_Swargate To Undri Pisoli (Jagdamba Bhavan)_Up-0805_0,Swargate To Undri Pisoli (Jagdamba Bhavan),4531
195,5697,NORMAL_195_Hadapsar Gadital To Holkarwadi_Up-0600_1,Hadapsar Gadital To Holkarwadi,3653
196,16619,NORMAL_196_Swargate To Tukaidarshan Kaleborate Nagar_Up-0745_0,Swargate To Tukaidarshan Kaleborate Nagar,5067
197,15008,NORMAL_197_Hadapsar Gadital To Kothrud Depot_Up-0525_0,Hadapsar Gadital To Kothrud Depot,3655
198,9486,NORMAL_198_Hadapsar Gadital To Railway Crossing Manjri_Up-0550_0,Hadapsar Gadital To Railway Crossing Manjri,5198
19A,432,NORMAL_19A_Shivajinagar To Marketyard_Down-2200_0,Shivajinagar To Marketyard,3424
19D,9251,NORMAL_19D_Shivajinagar To Trinity College_Down-1505_0,Shivajinagar To Trinity College,3440
2,8047,NORMAL_2_Katraj To Shivajinagar_Up-0520_0,Katraj To Shivajinagar,3442
20,469,NORMAL_20_Maharashtra Housing Board Samtanagar To Sahakarnagar_Down-0900_0,Maharashtra Housing Board Samtanagar To Sahakarnagar,4600
200,5742,NORMAL_200_Sadesatranali To Swargate_Up-0810_0,Sadesatranali To Swargate,3898
200A,5741,NORMAL_200A_Hadapsar Gadital To Sadesatranali_Down-0800_0,Hadapsar Gadital To Sadesatranali,3702
201,10302,NORMAL_201_Bhekrainagar To Alandi_Up-0510_0,Bhekrainagar To Alandi,3657
202,15125,NORMAL_202_Hadapsar Gadital To Warje Malwadi_Up-0530_0,Hadapsar Gadital To Warje Malwadi,3901
203,16973,NORMAL_203_Bhekarai Depot To Pune station_Up-0520_0,Bhekarai Depot To Pune station,4351
203P,16993,NORMAL_203P_Shewalwadi To Pune station_Up-0715_0,Shewalwadi To Pune station,3703
204,1752,NORMAL_204_Bhekrainagar To Chinchwad Gaon_Up-1345_0,Bhekrainagar To Chinchwad Gaon,3308
205,15245,NORMAL_205_Hadapsar Gadital To Vasantdada Putala Sangvi_Up-0530_0,Hadapsar Gadital To Vasantdada Putala Sangvi,3661
206,17559,NORMAL_206_Hadapsar Gadital To Vishalnagar_Up-0545_0,Hadapsar Gadital To Vishalnagar,3669
207,17008,NORMAL_207_Saswad To Hadapsar_Down-2120_0,Saswad To Hadapsar,4347
208,15113,NORMAL_208_Hadapsar Gadital To Hinjawadi Maan Phase 3_Up-0500_0,Hadapsar Gadital To Hinjawadi Maan Phase 3,3940
209_96,21709,NORMAL_209_Katraj To Saswad Bus Stand_Up-0515_0,Katraj To Saswad Bus Stand,5244
20B,5747,NORMAL_20B_Swargate To Hadapsar Gadital_Up-1215_0,Swargate To Hadapsar Gadital,3704
21,1098,NORMAL_21_Swargate To Vasantdada Putala Sangvi_Up-0520_0,Swargate To Vasantdada Putala Sangvi,2616
213,3682,NORMAL_213_Katraj To Vimananagar_UP-0540_0,Katraj To Vimananagar,1066
214,1260,NORMAL_214_Katraj To Sinhgad Collage_Up-0715_0,Katraj To Sinhgad Collage,4850
215,19746,NORMAL_215_Chintamani Dyanpith To Swargate_Down-0520_0,Chintamani Dyanpith To Swargate,4440
216,10991,NORMAL_216_Bharati Vidyapeeth To Bharati Vidyapeeth_Round-0625_0,Bharati Vidyapeeth To Bharati Vidyapeeth,3517
216A,11002,NORMAL_216A_Mandai To Katraj_Down-0940_0,Mandai To Katraj,3708
216B,16404,NORMAL_216B_Bharati Vidyapeeth To Pune Vidhyapeeth_Up-0910_0,Bharati Vidyapeeth To Pune Vidhyapeeth,3710
216C,11001,NORMAL_216C_Bharati Vidyapeeth To Mandai_Up-0905_0,Bharati Vidyapeeth To Mandai,3712
217,16815,NORMAL_217_Mandai Stand To Gujarwadi_Down-0615_0,Mandai Stand To Gujarwadi,4311
21A,11950,NORMAL_21A_Swargate To Ammunition Factory_Up-0700_0,Swargate To Ammunition Factory,3716
